Lineup,Position,Name,Team,Salary,Avg Points,Game Info
1,CPT,Max Verstappen,RB,17400,33.765,Austrian Grand Prix 2025
1,D,Nico Hulkenberg,SAUB,4600,8.44,Austrian Grand Prix 2025
1,D,Isack Hadjar,VCARB,5200,8.0,Austrian Grand Prix 2025
1,D,Esteban Ocon,HAAS,4000,7.4,Austrian Grand Prix 2025
1,D,Franco Colapinto,ALPN,3800,4.25,Austrian Grand Prix 2025
1,CNSTR,McLaren ,MCL,15000,49.0,Austrian Grand Prix 2025
2,CPT,Oscar Piastri,MCL,18900,37.845,Austrian Grand Prix 2025
2,D,Nico Hulkenberg,SAUB,4600,8.44,Austrian Grand Prix 2025
2,D,Esteban Ocon,HAAS,4000,7.4,Austrian Grand Prix 2025
2,D,Franco Colapinto,ALPN,3800,4.25,Austrian Grand Prix 2025
2,D,Oliver Bearman,HAAS,3600,3.9,Austrian Grand Prix 2025
2,CNSTR,McLaren ,MCL,15000,49.0,Austrian Grand Prix 2025
3,CPT,Lance Stroll,AM,4800,5.67,Austrian Grand Prix 2025
3,D,Max Verstappen,RB,11600,22.51,Austrian Grand Prix 2025
3,D,Charles Leclerc,FERR,10000,17.56,Austrian Grand Prix 2025
3,D,Nico Hulkenberg,SAUB,4600,8.44,Austrian Grand Prix 2025
3,D,Esteban Ocon,HAAS,4000,7.4,Austrian Grand Prix 2025
3,CNSTR,McLaren ,MCL,15000,49.0,Austrian Grand Prix 2025
4,CPT,Oscar Piastri,MCL,18900,37.845,Austrian Grand Prix 2025
4,D,Isack Hadjar,VCARB,5200,8.0,Austrian Grand Prix 2025
4,D,Esteban Ocon,HAAS,4000,7.4,Austrian Grand Prix 2025
4,D,Oliver Bearman,HAAS,3600,3.9,Austrian Grand Prix 2025
4,D,Lance Stroll,AM,3200,3.78,Austrian Grand Prix 2025
4,CNSTR,McLaren ,MCL,15000,49.0,Austrian Grand Prix 2025
5,CPT,Nico Hulkenberg,SAUB,6900,12.66,Austrian Grand Prix 2025
5,D,Oscar Piastri,MCL,12600,25.23,Austrian Grand Prix 2025
5,D,Isack Hadjar,VCARB,5200,8.0,Austrian Grand Prix 2025
5,D,Alexander Albon,WILL,6200,7.51,Austrian Grand Prix 2025
5,D,Esteban Ocon,HAAS,4000,7.4,Austrian Grand Prix 2025
5,CNSTR,McLaren ,MCL,15000,49.0,Austrian Grand Prix 2025
6,CPT,Lando Norris,MCL,18000,33.105000000000004,Austrian Grand Prix 2025
6,D,Nico Hulkenberg,SAUB,4600,8.44,Austrian Grand Prix 2025
6,D,Isack Hadjar,VCARB,5200,8.0,Austrian Grand Prix 2025
6,D,Esteban Ocon,HAAS,4000,7.4,Austrian Grand Prix 2025
6,D,Lance Stroll,AM,3200,3.78,Austrian Grand Prix 2025
6,CNSTR,McLaren ,MCL,15000,49.0,Austrian Grand Prix 2025
7,CPT,Esteban Ocon,HAAS,6000,11.100000000000001,Austrian Grand Prix 2025
7,D,Oscar Piastri,MCL,12600,25.23,Austrian Grand Prix 2025
7,D,Nico Hulkenberg,SAUB,4600,8.44,Austrian Grand Prix 2025
7,D,Isack Hadjar,VCARB,5200,8.0,Austrian Grand Prix 2025
7,D,Alexander Albon,WILL,6200,7.51,Austrian Grand Prix 2025
7,CNSTR,McLaren ,MCL,15000,49.0,Austrian Grand Prix 2025
8,CPT,Esteban Ocon,HAAS,6000,11.100000000000001,Austrian Grand Prix 2025
8,D,George Russell,MERC,11000,19.33,Austrian Grand Prix 2025
8,D,Charles Leclerc,FERR,10000,17.56,Austrian Grand Prix 2025
8,D,Nico Hulkenberg,SAUB,4600,8.44,Austrian Grand Prix 2025
8,D,Lance Stroll,AM,3200,3.78,Austrian Grand Prix 2025
8,CNSTR,McLaren ,MCL,15000,49.0,Austrian Grand Prix 2025
9,CPT,Oscar Piastri,MCL,18900,37.845,Austrian Grand Prix 2025
9,D,Nico Hulkenberg,SAUB,4600,8.44,Austrian Grand Prix 2025
9,D,Isack Hadjar,VCARB,5200,8.0,Austrian Grand Prix 2025
9,D,Lance Stroll,AM,3200,3.78,Austrian Grand Prix 2025
9,D,Gabriel Bortoleto,SAUB,3000,1.8,Austrian Grand Prix 2025
9,CNSTR,McLaren ,MCL,15000,49.0,Austrian Grand Prix 2025
10,CPT,Lance Stroll,AM,4800,5.67,Austrian Grand Prix 2025
10,D,Oscar Piastri,MCL,12600,25.23,Austrian Grand Prix 2025
10,D,Charles Leclerc,FERR,10000,17.56,Austrian Grand Prix 2025
10,D,Esteban Ocon,HAAS,4000,7.4,Austrian Grand Prix 2025
10,D,Oliver Bearman,HAAS,3600,3.9,Austrian Grand Prix 2025
10,CNSTR,McLaren ,MCL,15000,49.0,Austrian Grand Prix 2025
